平日ダイヤ 新白河駅 下り時刻表,,,
6,やまびこ,,
,42,,
,仙台,,
,4,,
7,やまびこ,,
,43,,
,仙台,,
,4,,
8,やまびこ,,
,08,,
,仙台,,
,4,,
9,やまびこ,なすの,
,09,46,
,仙台,郡山,
,4,4,
10,なすの,,
,40,,
,郡山,,
,4,,
11,やまびこ,,
,36,,
,仙台,,
,4,,
12,なすの,,
,36,,
,郡山,,
,4,,
13,やまびこ,,
,36,,
,仙台,,
,4,,
14,なすの,,
,36,,
,郡山,,
,4,,
15,やまびこ,,
,36,,
,仙台,,
,4,,
16,なすの,,
,36,,
,郡山,,
,4,,
17,やまびこ,,
,36,,
,仙台,,
,4,,
18,やまびこ,,
,37,,
,仙台,,
,4,,
19,やまびこ,,
,11,,
,仙台,,
,4,,
20,やまびこ,やまびこ,
,01,50,
,仙台,仙台,
,4,4,
21,,,
,,,
,,,
,,,
22,やまびこ,やまびこ,
,15,54,
,仙台,仙台,
,4,4,
