平日ダイヤ 高崎駅 下り時刻表,,,,
6,,,,
,,,,
,,,,
,,,,
7,はくたか,あさま,,
,17,44,,
,金沢,長野,,
,11,11,,
8,あさま,はくたか,,
,23,43,,
,長野,金沢,,
,11,11,,
9,はくたか,あさま,,
,28,55,,
,金沢,長野,,
,11,11,,
10,あさま,,,
,43,,,
,長野,,,
,11,,,
11,はくたか,,,
,21,,,
,金沢,,,
,11,,,
12,あさま,はくたか,,
,00,12,,
,長野,敦賀,,
,11,11,,
13,あさま,はくたか,,
,00,13,,
,長野,敦賀,,
,11,11,,
14,あさま,はくたか,,
,00,12,,
,長野,敦賀,,
,11,11,,
15,あさま,はくたか,,
,00,13,,
,長野,敦賀,,
,11,11,,
16,あさま,はくたか,あさま,
,00,11,59,
,長野,敦賀,長野,
,11,11,11,
17,はくたか,あさま,,
,20,48,,
,金沢,長野,,
,11,11,,
18,あさま,,,
,33,,,
,長野,,,
,11,,,
19,あさま,はくたか,,
,32,53,,
,長野,金沢,,
,11,11,,
20,あさま,,,
,19,,,
,長野,,,
,11,,,
21,はくたか,あさま,,
,00,25,,
,金沢,長野,,
,11,11,,
22,あさま,あさま,,
,20,59,,
,長野,長野,,
,11,11,,
