05時,,
18:25,普通,熊取
18:29,関空快速,関西空港/和歌山
18:35,特急くろしお,白浜行き
18:37,快速,日根野
18:40,普通,熊取
18:44,関空快速,関西空港/和歌山
18:50,特急はるか,関西空港行き
18:52,快速,日根野
18:55,普通,熊取
18:59,関空快速,関西空港/和歌山
19時,,
19:05,特急くろしお,和歌山行き
19:07,快速,日根野
19:10,普通,熊取
19:14,関空快速,関西空港/和歌山
19:20,特急はるか,関西空港行き
19:22,快速,日根野
19:25,普通,熊取
19:29,関空快速,関西空港/和歌山
19:35,特急くろしお,新宮行き
19:37,快速,和歌山
19:40,普通,日根野
19:44,関空快速,関西空港/和歌山
19:50,特急はるか,関西空港行き
19:52,快速,日根野
19:55,普通,和歌山
19:59,関空快速,関西空港/和歌山
20時,,
20:07,快速,和歌山
20:10,普通,熊取
20:14,関空快速,関西空港/和歌山
20:20,特急はるか,関西空港行き
20:22,快速,日根野
20:25,普通,和歌山
20:29,関空快速,関西空港/和歌山行き
20:35,特急くろしお,白浜行き
20:37,快速,和歌山
20:40,普通,日根野
20:44,関空快速,関西空港
20:50,特急はるか,関西空港行き
20:52,快速,日根野
20:55,普通,日根野
20:59,関空快速,関西空港/和歌山
21時,,
21:07,快速,和歌山
21:10,普通,日根野
21:14,快速,日根野
21:21,特急はるか,関西空港行き
21:23,快速,鳳
21:25,普通,日根野
21:29,関空快速,関西空港/和歌山
21:40,普通,和歌山
21:44,関空快速,関西空港
21:51,快速,和歌山
21:55,普通,和泉府中
21:59,関空快速,関西空港/御坊
22時,,
22:06,特急くろしお,和歌山行き
22:09,普通,和歌山
22:14,快速,東岸和田
22:21,快速,和歌山
22:23,普通,和泉砂川
22:30,関空快速,関西空港
22:37,普通,日根野
22:45,関空快速,関西空港/和歌山
22:49,普通,和歌山
23時,,
23:01,快速,日根野行き
23:03,普通,和歌山
23:10,特急くろしお,和歌山行き
23:18,普通,日根野
23:22,快速,日根野
23:33,普通,鳳
23:42,快速,日根野行き
23:52,普通,日根野
00時,,
0:00,快速,鳳行き
0:08,普通,鳳
0:24,普通,鳳
