06時
06:40ひかり東京行き
07時
07:09ひかり東京行き
07:15こだま東京行き
08時
08:10こだま東京行き
08:41こだま東京行き
08:51ひかり東京行き
09時
09:09こだま東京行き
09:41こだま東京行き
10時
10:09こだま東京行き
10:41こだま東京行き
10:51ひかり東京行き
11時
11:09こだま東京行き
11:41こだま東京行き
12時
12:09こだま東京行き
12:41こだま東京行き
12:51ひかり東京行き
13時
13:09こだま東京行き
13:41こだま東京行き
14時
14:09こだま東京行き
14:41こだま東京行き
14:51ひかり東京行き
15時
15:09こだま東京行き
15:41こだま東京行き
16時
16:09こだま東京行き
16:41こだま東京行き
16:51ひかり東京行き
17時
17:09こだま東京行き
17:41こだま東京行き
18時
18:09こだま東京行き
18:41こだま東京行き
18:51ひかり東京行き
19時
19:09こだま東京行き
19:41こだま東京行き
20時
20:09こだま東京行き
20:40こだま東京行き
21時
21:02ひかり東京行き
21:18こだま東京行き
21:34こだま三島行き
22時
22:17こだま三島行き
22:41こだま静岡行き
