Aダイヤ 大阪駅 上り時刻表,,,,,,,,,,,,,,,,,,,,
,00,03,04,08,11,14,18,19,23,26,29,33,34,38,41,44,49,53,56,59
,桜島,関西空港,,関西空港/和歌山,奈良,桜島,新宮,,関西空港/和歌山,加茂,桜島,関西空港,,関西空港/和歌山,奈良,桜島,,関西空港/和歌山,加茂/五条,桜島
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,特急はるか,普通,関空快速,大和路快速,普通,特急くろしお,普通,関空快速,大和路快速,普通,特急はるか,普通,関空快速,大和路快速,普通,特急くろしお,普通,関空快速,大和路快速,普通
,03,04,08,11,14,18,19,23,26,29,33,34,38,41,44,48,49,53,56,59
,関西空港,,関西空港/和歌山,奈良,桜島,白浜,,関西空港/和歌山,加茂,桜島,関西空港,,関西空港/和歌山,奈良,桜島,和歌山,,関西空港/和歌山,加茂,桜島
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,特急はるか,普通,関空快速,大和路快速,普通,特急くろしお,普通,関空快速,大和路快速,普通,特急はるか,普通,関空快速,大和路快速,普通,普通,関空快速,大和路快速,普通,
,03,04,08,11,14,18,19,23,26,29,33,34,38,41,44,49,53,56,59,
,関西空港,,関西空港/和歌山,奈良/五条,桜島,新宮,,関西空港/和歌山,加茂,桜島,関西空港,,関西空港/和歌山,奈良,桜島,,関西空港,加茂,桜島,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
20,特急はるか,普通,関空快速,大和路快速,普通,特急くろしお,普通,快速,大和路快速,普通,特急はるか,普通,関空快速,大和路快速,普通,普通,関空快速,大和路快速,普通,
,03,04,08,11,14,18,19,23,26,29,33,34,38,41,44,49,53,56,59,
,関西空港,,関西空港/和歌山,奈良,桜島,白浜,,日根野,加茂,桜島,関西空港,,関西空港/御坊,奈良,桜島,,関西空港/和歌山,加茂,桜島,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
21,特急はるか,普通,関空快速,区間快速,普通,特急くろしお,普通,関空快速,普通,普通,関空快速,区間快速,普通,特急くろしお,普通,,,,,
,03,04,08,12,14,18,19,25,28,31,38,42,50,50,53,,,,,
,関西空港,,関西空港,奈良,桜島,紀伊田辺,,関西空港,桜島,,関西空港/御坊,奈良,,和歌山,桜島,,,,,
