Aダイヤ 天王寺駅 下り時刻表,,,,,,,,,,,,,,,,
21,快速,普通,快速,特急はるか,快速,普通,関空快速,普通,関空快速,快速,普通,関空快速,,,,
,7,10,14,21,23,25,29,40,44,51,55,59,,,,
,和歌山,日根野,日根野,関西空港,鳳,日根野,関西空港/和歌山,和歌山,関西空港,和歌山,和泉府中,関西空港/御坊,,,,
,5,8,15,15,5,8,15,8,15,5,8,15,,,,
22,特急くろしお,普通,快速,快速,普通,関空快速,普通,関空快速,普通,,,,,,,
,6,9,14,21,23,30,37,45,49,,,,,,,
,和歌山,和歌山,東岸和田,和歌山,和泉砂川,関西空港,日根野,関西空港/和歌山,和歌山,,,,,,,
,15,8,5,5,8,15,8,15,8,,,,,,,
23,快速,普通,特急くろしお,普通,快速,普通,快速,普通,,,,,,,,
,1,3,10,18,22,33,42,52,,,,,,,,
,日根野,和歌山,和歌山,日根野,日根野,鳳,日根野,日根野,,,,,,,,
,15,8,15,15,5,8,15,8,,,,,,,,
0,快速,普通,普通,,,,,,,,,,,,,
,0,8,24,,,,,,,,,,,,,
,鳳,鳳,鳳,,,,,,,,,,,,,
,15,8,7,,,,,,,,,,,,,
