休日ダイヤ 三ノ宮駅 上り時刻表,,,,,,,,,,,,,,,,,,
,京都,四条畷,米原方面近江塩津,京都方面野洲,高槻,四条畷,京都方面野洲,京都方面米原,高槻,四条畷,京都方面草津,京都方面野洲,高槻,四条畷,湖西経由敦賀,京都方面米原,高槻,
,1,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,
12,普通,新快速,快速,普通,普通,新快速,快速,普通,普通,新快速,快速,普通,普通,新快速,快速,普通,,
,4,7,10,13,19,22,25,28,34,37,40,43,49,52,55,58,,
,四条畷,米原方面近江塩津,京都方面野洲,高槻,四条畷,京都方面野洲,京都方面米原,高槻,四条畷,京都方面草津,京都方面野洲,高槻,四条畷,湖西経由敦賀,京都方面米原,高槻,,
,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,,
13,特急ｽｰﾊﾟｰはくと,普通,新快速,快速,普通,普通,新快速,快速,普通,普通,新快速,快速,普通,普通,新快速,快速,普通,
,1,4,7,10,13,19,22,25,28,34,37,40,43,49,52,55,58,
,京都,四条畷,米原方面近江塩津,京都方面野洲,高槻,四条畷,京都方面野洲,京都方面米原,高槻,四条畷,米原方面長浜,京都方面野洲,京都,長尾,湖西経由敦賀,京都方面米原,京都,
,1,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,
14,普通,新快速,快速,普通,普通,新快速,快速,普通,普通,新快速,快速,普通,普通,新快速,快速,普通,,
,4,7,10,13,19,22,25,28,34,37,40,43,49,52,55,58,,
,松井山手,米原方面近江塩津,京都方面野洲,京都,松井山手,京都方面野洲,京都方面米原,京都,松井山手,米原方面長浜,京都方面野洲,京都,松井山手,湖西経由敦賀,京都方面米原,京都,,
,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,,
15,特急ｽｰﾊﾟｰはくと,普通,新快速,快速,普通,普通,新快速,快速,普通,普通,新快速,快速,普通,普通,新快速,快速,普通,
,1,4,7,10,13,19,22,25,28,33,37,39,43,48,52,54,58,
,京都,松井山手,米原方面敦賀,京都方面米原,京都,松井山手,京都方面野洲,京都方面米原,京都,松井山手,米原方面長浜,京都方面米原,京都,松井山手,京都方面野洲,京都方面米原,京都,
