平日ダイヤ 大阪駅 下り時刻表,,,,,,,,,,,,,,,,,,,,
5,普通,普通,普通,普通,普通,快速,,,,,,,,,,,,,,
,0,24,36,43,51,58,,,,,,,,,,,,,,
,西明石,神戸方面加古川,西明石,神戸方面加古川,西明石,姫路,,,,,,,,,,,,,,
,5,6,6,6,6,5,,,,,,,,,,,,,,
6,普通,普通,普通,快速,普通,普通,普通,普通,快速,新快速,普通,快速,,,,,,,,
,1,7,13,21,22,27,33,41,44,50,52,56,,,,,,,,
,西明石,尼崎,神戸,姫路方面網干,西明石,西明石,尼崎,西明石,姫路方面網干,姫路,西明石,姫路,,,,,,,,
,6,6,6,5,6,6,6,6,5,4,6,5,,,,,,,,
7,普通,新快速,快速,普通,普通,快速,普通,新快速,普通,快速,普通,特急ｽｰﾊﾟｰはくと,快速,普通,新快速,特急はまかぜ,普通,快速,普通,新快速
,1,5,8,9,16,22,22,27,29,32,37,38,41,43,46,48,49,53,55,58
,尼崎,姫路,姫路方面網干,西明石,西明石,姫路,西明石,姫路,尼崎,姫路方面網干,西明石,倉吉,姫路方面網干,西明石,姫路,鳥取,西明石,姫路,西明石,姫路
,6,4,5,6,6,5,6,4,6,5,6,3,5,6,4,3,6,5,6,4
8,普通,快速,普通,新快速,普通,快速,普通,新快速,普通,快速,普通,新快速,普通,普通,新快速,普通,快速,普通,新快速,普通
,0,3,5,8,10,12,16,19,20,25,25,29,31,35,39,41,44,47,50,51
,尼崎,姫路,西明石,姫路,尼崎,姫路方面網干,西明石,姫路,西明石,姫路,尼崎,西明石,新三田,尼崎,姫路,西明石,姫路方面網干,尼崎,姫路,西明石
,6,3,6,4,6,4,6,4,6,4,6,4,6,6,4,6,4,6,4,6
9,快速,普通,普通,新快速,普通,快速,新快速,普通,快速,特急ｽｰﾊﾟｰはくと,普通,新快速,普通,快速,特急はまかぜ,普通,新快速,普通,快速,普通
,0,0,5,6,10,15,15,19,24,26,26,30,31,37,38,39,45,45,52,53
,姫路方面網干,西明石,西明石,姫路,西明石,神戸方面加古川,姫路,西明石,西明石,倉吉,甲子園口,姫路,新三田,姫路方面網干,浜坂,須磨,姫路,新三田,神戸方面加古川,須磨
,3,6,6,4,6,5,4,6,5,4,6,5,6,5,4,6,5,6,5,6
10,新快速,普通,快速,普通,新快速,普通,快速,普通,新快速,普通,快速,普通,新快速,普通,快速,普通,特急ｽｰﾊﾟｰはくと,,,
,0,0,7,8,15,15,22,23,30,30,37,38,45,45,52,53,56,,,
,姫路,新三田,姫路方面網干,須磨,姫路,宝塚,神戸方面加古川,須磨,姫路,宝塚,姫路方面網干,須磨,姫路,宝塚,神戸方面加古川,須磨,倉吉,,,
,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,3,,,
11,新快速,普通,快速,普通,新快速,普通,快速,普通,新快速,普通,快速,普通,新快速,普通,快速,普通,,,,
,0,0,7,8,15,15,22,23,30,30,37,38,45,45,52,53,,,,
,姫路,宝塚,姫路方面網干,須磨,姫路,宝塚,神戸方面加古川,須磨,姫路,宝塚,姫路方面網干,須磨,姫路,宝塚,神戸方面加古川,須磨,,,,
,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,,,,
12,新快速,普通,快速,普通,新快速,普通,快速,特急はまかぜ,普通,新快速,普通,快速,普通,新快速,普通,快速,普通,特急ｽｰﾊﾟｰはくと,,
,0,0,7,8,15,15,22,23,23,30,30,37,38,45,45,52,53,56,,
