土休日ダイヤ 岩国駅 下り時刻表
6,普通,普通
,06,42
,新山口,下関
,7,7
7,普通,普通,普通
,16,34,56
,下関,南岩国,由宇
,7,7,7
8,普通,普通
,17,46
,徳山,下関
,7,7
9,普通
,44
,下関
,7
10,普通
,44
,下関
,7
11,普通
,44
,下関
,7
12,普通
,44
,下関
,7
13,普通
,44
,下関
,7
14,普通
,35
,下関
,7
15,普通
,37
,下関
,7
16,普通,普通
,05,41
,下関,下関
,7,7
17,普通,普通,普通
,10,43,49
,下関,下関,南岩国
,7,7,7
18,普通,普通
,14,42
,新山口,新山口
,7,7
19,普通,普通
,16,40
,下関,新山口
,7,7
20,普通,普通
,16,47
,下関,徳山
,7,7
21,普通
,47
,新山口
,7
22,普通
,58
,柳井
,7
