Aダイヤ 名古屋駅 下り時刻表,,,,,,,,,,,
5,普通,,,,,,,,,,
,37,,,,,,,,,,
,大垣,,,,,,,,,,
,3,,,,,,,,,,
6,普通,普通,普通,新快速,普通,,,,,,
,10,23,32,44,46,,,,,,
,米原,大垣,岐阜,大垣,岐阜,,,,,,
,6,6,6,6,5,,,,,,
7,区間快速,普通,新快速,普通,特別快速,普通,特急ひだ,新快速,特急しらさぎ,普通,
,0,5,17,20,32,35,43,48,51,55,
,米原,大垣,大垣,岐阜,大垣,岐阜,高山,大垣,敦賀,岐阜,
,6,5,6,5,6,5,11,6,4,5,
8,特別快速,普通,特別快速,普通,特別快速,普通,特急ひだ,新快速,特急しらさぎ,普通,
,3,7,18,23,31,33,43,47,51,53,
,米原,岐阜,大垣,岐阜,米原,岐阜,富山,大垣,敦賀,岐阜,
,6,5,6,5,6,5,11,6,4,5,
9,特別快速,普通,新快速,普通,特別快速,普通,特急ひだ,新快速,特急しらさぎ,普通,
,2,4,17,22,31,33,39,45,48,50,
,米原,岐阜,大垣,岐阜,米原,岐阜,飛騨古川,大垣,敦賀,岐阜,
,6,5,6,6,6,5,11,6,4,6,
10,新快速,普通,特別快速,普通,新快速,普通,特別快速,特急ひだ,普通,,
,0,5,15,20,30,35,45,48,50,,
,大垣,岐阜,大垣,岐阜,大垣,岐阜,大垣,富山,岐阜,,
,6,5,6,5,6,5,6,11,5,,
11,新快速,普通,特別快速,普通,新快速,普通,特急ひだ,新快速,特急しらさぎ,普通,
,0,5,15,20,30,35,43,45,48,50,
,大垣,岐阜,大垣,岐阜,大垣,岐阜,高山,大垣,敦賀,岐阜,
,6,5,6,5,6,5,11,6,4,5,
12,特別快速,普通,新快速,普通,快速,普通,新快速,特急ひだ,普通,,
,0,5,15,20,30,35,45,48,50,,
,大垣,岐阜,大垣,岐阜,大垣,岐阜,大垣,富山,岐阜,,
,6,5,6,5,6,5,6,11,5,,
13,快速,普通,新快速,普通,快速,普通,新快速,特急しらさぎ,普通,,
,0,5,15,20,30,35,45,48,50,,
,大垣,岐阜,大垣,岐阜,大垣,岐阜,大垣,敦賀,岐阜,,
,6,5,6,5,6,5,6,4,5,,
14,快速,普通,新快速,普通,快速,普通,新快速,特急ひだ,普通,,
,0,5,15,20,30,35,45,48,50,,
,大垣,岐阜,大垣,岐阜,米原,岐阜,大垣,富山,岐阜,,
,6,5,6,5,6,5,6,11,5,,
15,快速,普通,新快速,普通,快速,普通,新快速,特急しらさぎ,普通,,
,0,5,15,20,30,35,45,48,50,,
,米原,岐阜,大垣,岐阜,米原,岐阜,大垣,敦賀,岐阜,,
,6,5,6,5,6,5,6,11,5,,
16,快速,特急ひだ,普通,新快速,普通,快速,普通,新快速,普通,,
,0,3,5,15,20,30,35,45,50,,
,米原,高山,岐阜,大垣,岐阜,米原,岐阜,大垣,岐阜,,
,6,11,5,6,5,6,5,6,5,,
17,新快速,普通,特別快速,普通,新快速,普通,特別快速,特急しらさぎ,普通,,
,0,5,15,20,30,35,45,48,50,,
,米原,岐阜,大垣,岐阜,米原,岐阜,大垣,敦賀,岐阜,,
,6,5,6,5,6,5,6,11,5,,
18,新快速,普通,特別快速,特急ひだ,普通,新快速,普通,特別快速,普通,,
,0,2,10,12,15,30,32,45,50,,
,米原,岐阜,大垣,高山,岐阜,米原,岐阜,大垣,岐阜,,
,6,5,6,11,5,6,5,6,5,,
19,新快速,普通,特別快速,普通,新快速,普通,特別快速,特急しらさぎ,普通,,
,0,2,15,20,30,35,45,48,50,,
,米原,岐阜,大垣,岐阜,米原,岐阜,大垣,敦賀,岐阜,,
,6,5,6,5,6,5,6,11,5,,
20,新快速,普通,特別快速,特急ひだ,普通,新快速,普通,特別快速,普通,,
,0,5,15,17,20,30,35,45,50,,
,米原,岐阜,関ケ原,高山,岐阜,米原,岐阜,大垣,岐阜,,
,6,5,6,11,5,6,5,6,5,,
21,新快速,普通,特別快速,普通,新快速,普通,特別快速,普通,,,
,0,5,15,20,30,35,45,50,,,
,米原,岐阜,大垣,岐阜,米原,岐阜,大垣,岐阜,,,
,6,5,6,5,6,5,6,5,,,
22,区間快速,普通,新快速,普通,区間快速,普通,新快速,普通,,,
,0,5,15,20,30,35,45,50,,,
,米原,岐阜,大垣,岐阜,大垣,岐阜,米原,岐阜,,,
,6,5,6,5,6,5,6,5,,,
23,区間快速,普通,新快速,普通,区間快速,普通,新快速,,,,
,0,7,15,25,32,45,57,,,,
,大垣,岐阜,大垣,岐阜,関ケ原,大垣,大垣,,,,
,6,5,6,5,6,6,6,,,,
0,普通,,,,,,,,,,
,2,,,,,,,,,,
,大垣,,,,,,,,,,
,6,,,,,,,,,,
