平日ダイヤ 新白河駅 上り時刻表,,
5,普通,
,25,
,黒磯,
,5,
6,普通,
,20,
,黒磯,
,6,
7,普通,普通
,04,40
,黒磯,黒磯
,6,6
8,普通,
,38,
,黒磯,
,6,
9,普通,
,52,
,黒磯,
,6,
10,普通,
,55,
,黒磯,
,6,
11,,
,,
,,
,,
12,普通,
,35,
,黒磯,
,6,
13,普通,
,55,
,黒磯,
,6,
14,,
,,
,,
,,
15,普通,
,47,
,黒磯,
,6,
16,,
,,
,,
,,
17,普通,
,12,
,黒磯,
,6,
18,普通,
,32,
,黒磯,
,6,
19,普通,
,55,
,黒磯,
,6,
20,,
,,
,,
,,
21,普通,
,23,
,黒磯,
,6,
