Aダイヤ 二子玉川駅 下り時刻表,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,5,8,12,16,19,22,25,28,31,35,38,41,43,46,50,52,55,58,,,,,,,
,久喜,押上,押上,押上,押上,南栗橋,押上,久喜,押上,押上,押上,南栗橋,押上,久喜,押上,押上,押上,押上,南栗橋,,,,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,
18,各停,準急,各停,各停,各停,急行,各停,各停,準急,各停,各停,急行,各停,各停,準急,各停,各停,急行,,,,,,,,
,1,4,8,11,15,18,22,25,28,31,35,38,42,45,48,52,55,58,,,,,,,,
,押上,久喜,押上,押上,押上,南栗橋,押上,久喜,押上,押上,押上,南栗橋,押上,久喜,押上,押上,押上,南栗橋,,,,,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,
19,各停,各停,準急,各停,各停,急行,各停,各停,準急,各停,各停,急行,各停,各停,準急,各停,各停,急行,,,,,,,,
,2,5,8,11,15,18,22,25,28,32,35,38,41,45,49,53,56,59,,,,,,,,
,押上,久喜,押上,押上,押上,南栗橋,押上,久喜,押上,押上,押上,南栗橋,押上,北越谷,押上,押上,押上,南栗橋,,,,,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,
20,各停,各停,準急,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,,,,,,,,,,
,3,7,10,14,18,21,25,28,32,35,40,43,48,50,55,59,,,,,,,,,,
,久喜,押上,押上,南栗橋,押上,押上,久喜,押上,南栗橋,押上,押上,南栗橋,押上,押上,南栗橋,押上,,,,,,,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,
21,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,,,,,,,,,,,,,
,4,7,11,15,20,23,28,32,37,40,46,51,56,,,,,,,,,,,,,
,押上,南栗橋,押上,北越谷,南栗橋,押上,押上,押上,押上,南栗橋,北越谷,押上,押上,,,,,,,,,,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,
22,急行,各停,各停,各停,急行,各停,各停,準急,各停,各停,各停,,,,,,,,,,,,,,,
,0,5,10,16,19,25,31,36,42,51,59,,,,,,,,,,,,,,,
,南栗橋,南栗橋,押上,南栗橋,押上,押上,久喜,押上,南栗橋,押上,南栗橋,,,,,,,,,,,,,,,
,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,
23,各停,準急,各停,各停,準急,各停,各停,各停,,,,,,,,,,,,,,,,,,
,6,12,18,26,33,40,49,57,,,,,,,,,,,,,,,,,,
,押上,清澄白河,押上,北越谷,押上,押上,押上,清澄白河,,,,,,,,,,,,,,,,,,
,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,
0,各停,,,,,,,,,,,,,,,,,,,,,,,,,
,13,,,,,,,,,,,,,,,,,,,,,,,,,
,渋谷,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,
