Aダイヤ 武蔵小杉駅 上り時刻表,,,,,,,,,,,,,,,,,,,,,,,,
,渋谷,和光市,石神井公園,小手指,和光市,和光市,渋谷,渋谷,森林公園,石神井公園,和光市,渋谷,所沢,池袋,渋谷,渋谷,和光市,森林公園,,,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,
16,各停,急行,各停,Ｆ特急,急行,各停,急行,各停,特急,各停,急行,各停,特急,急行,各停,急行,各停,特急,各停,,,,,
,00,04,07,11,13,16,19,22,26,30,34,37,41,43,46,49,52,56,58,,,,,
,石神井公園,和光市,和光市,小手指,川越市,和光市,渋谷,池袋,和光市,渋谷,石神井公園,新宿三丁目,所沢,和光市,渋谷,和光市,新宿三丁目,和光市,清瀬,,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,
17,各停,特急,急行,各停,急行,各停,通特,各停,急行,各停,通特,急行,各停,急行,各停,通特,各停,各停,急行,,,,,
,02,06,08,11,14,18,22,26,30,33,37,39,42,45,48,52,54,57,59,,,,,
,渋谷,和光市,志木,新宿三丁目,志木,保谷,飯能,渋谷,和光市,新宿三丁目,和光市,和光市,志木,渋谷,保谷,飯能,渋谷,新宿三丁目,和光市,,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,
18,各停,通特,急行,各停,急行,各停,通特,急行,各停,急行,各停,通特,急行,各停,急行,各停,通特,急行,各停,,,,,
,04,07,09,12,15,18,22,25,27,30,33,37,40,42,45,48,52,55,57,,,,,
,和光市,川越市,和光市,新宿三丁目,渋谷,志木,所沢,和光市,渋谷,清瀬,新宿三丁目,志木,和光市,和光市,渋谷,渋谷,飯能,和光市,渋谷,,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,
19,急行,各停,通特,急行,各停,急行,各停,通特,急行,各停,急行,各停,通特,各停,各停,急行,各停,通特,急行,各停,,,,
,00,03,07,09,12,15,18,23,25,28,30,33,38,40,42,45,48,53,55,57,,,,
,石神井公園,新宿三丁目,清瀬,志木,和光市,渋谷,渋谷,小手指,森林公園,渋谷,清瀬,和光市,和光市,新宿三丁目,和光市,渋谷,渋谷,飯能,川越市,渋谷,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,
20,急行,各停,通特,急行,各停,急行,各停,通特,急行,各停,急行,各停,通特,急行,各停,急行,各停,通特,急行,各停,,,,
,00,03,08,09,12,15,18,23,25,27,30,33,38,39,42,45,48,53,55,57,,,,
,清瀬,新宿三丁目,和光市,和光市,和光市,渋谷,渋谷,小手指,志木,渋谷,清瀬,新宿三丁目,和光市,和光市,和光市,渋谷,渋谷,保谷,森林公園,渋谷,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,
