Aダイヤ 武蔵小杉駅 上り時刻表,,,,,,,,,,,,,,,,,,,,,
4,各停,,,,,,,,,,,,,,,,,,,,
,西高島平,浦和美園,浦和美園,西高島平,浦和美園,浦和美園,西高島平,浦和美園,浦和美園,西高島平,浦和美園,西高島平,浦和美園,高島平,浦和美園,浦和美園,,,,,
,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
18,各停,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,各停,,,,,
,02,06,09,12,16,20,24,28,32,35,40,43,48,51,55,58,,,,,
,浦和美園,西高島平,浦和美園,浦和美園,西高島平,西高島平,浦和美園,西高島平,浦和美園,西高島平,浦和美園,西高島平,浦和美園,浦和美園,西高島平,西高島平,,,,,
,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
19,急行,各停,各停,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,各停,,,,,,
,03,06,10,13,18,21,25,28,32,37,43,46,50,53,56,,,,,,
,浦和美園,浦和美園,西高島平,西高島平,浦和美園,浦和美園,西高島平,西高島平,浦和美園,浦和美園,浦和美園,西高島平,西高島平,浦和美園,王子神谷,,,,,,
,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,
20,急行,各停,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,,,,,,,,
,00,03,07,11,15,20,28,33,37,43,48,52,57,,,,,,,,
,西高島平,西高島平,西高島平,浦和美園,浦和美園,西高島平,浦和美園,西高島平,西高島平,浦和美園,浦和美園,西高島平,西高島平,,,,,,,,
,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,
21,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,,,,,,,,,
,02,08,14,19,24,29,34,39,43,48,54,59,,,,,,,,,
,浦和美園,浦和美園,浦和美園,西高島平,西高島平,西高島平,赤羽岩淵,浦和美園,西高島平,浦和美園,西高島平,浦和美園,,,,,,,,,
,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,
