Aダイヤ 武蔵小杉駅 下り時刻表,,,,,,,,,,,,,,,,,,,,
16,各停,急行,F特急,各停,急行,各停,急行,各停,急行,F特急,各停,急行,各停,特急,各停,急行,各停,F特急,,
,3,5,8,11,15,18,21,24,26,29,32,36,38,43,46,51,53,59,,
,元町・中華街,湘南台,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,湘南台,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
17,各停,急行,各停,急行,通特,各停,急行,急行,各停,通特,各停,急行,各停,急行,通特,各停,急行,各停,急行,
,2,6,9,13,15,19,22,25,27,30,34,38,40,43,45,49,53,55,58,
,元町・中華街,元町・中華街,元町・中華街,湘南台,元町・中華街,元町・中華街,元町・中華街,西谷,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,湘南台,元町・中華街,元町・中華街,元町・中華街,元町・中華街,湘南台,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
18,通特,各停,急行,各停,急行,通特,各停,急行,各停,通特,各停,急行,各停,急行,通特,各停,急行,各停,急行,
,0,3,7,10,13,15,19,23,25,30,34,38,40,43,45,49,52,55,58,
,元町・中華街,元町・中華街,元町・中華街,元町・中華街,湘南台,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,湘南台,元町・中華街,元町・中華街,元町・中華街,元町・中華街,湘南台,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
19,通特,各停,急行,各停,急行,通特,各停,急行,各停,急行,通特,各停,急行,各停,急行,通特,各停,急行,各停,急行
,0,4,8,10,13,15,19,23,25,28,30,33,37,40,43,45,49,53,55,58
,元町・中華街,元町・中華街,元町・中華街,元町・中華街,湘南台,元町・中華街,元町・中華街,元町・中華街,元町・中華街,湘南台,元町・中華街,元町・中華街,元町・中華街,元町・中華街,湘南台,元町・中華街,元町・中華街,元町・中華街,元町・中華街,湘南台
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,通特,各停,急行,各停,急行,通特,各停,急行,各停,急行,通特,各停,急行,各停,通特,各停,急行,各停,,
,0,3,8,10,13,15,19,23,25,28,30,33,38,40,45,48,53,55,,
,元町・中華街,元町・中華街,元町・中華街,元町・中華街,湘南台,元町・中華街,元町・中華街,元町・中華街,元町・中華街,湘南台,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
21,通特,各停,急行,各停,急行,通特,各停,急行,各停,通特,各停,急行,各停,急行,通特,各停,急行,各停,,
,0,3,8,10,13,15,18,23,25,30,33,38,40,43,45,48,53,55,,
,元町・中華街,元町・中華街,元町・中華街,元町・中華街,湘南台,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,海老名,元町・中華街,元町・中華街,元町・中華街,元町・中華街,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
22,通特,各停,各停,急行,通特,各停,急行,各停,通特,各停,急行,各停,通特,各停,急行,各停,急行,,,
,0,3,10,12,15,18,22,26,30,34,38,40,44,48,52,55,57,,,
,元町・中華街,菊名,元町・中華街,湘南台,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,湘南台,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
23,通特,各停,各停,急行,通特,各停,急行,各停,通特,各停,急行,各停,急行,各停,,,,,,
,0,4,10,12,15,19,22,25,30,33,38,42,51,54,,,,,,
,元町・中華街,元町・中華街,元町・中華街,湘南台,元町・中華街,元町・中華街,海老名,元町・中華街,元町・中華街,元町・中華街,大和,元町・中華街,新横浜,元町・中華街,,,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
0,各停,各停,急行,各停,各停,各停,,,,,,,,,,,,,,
,2,7,11,21,30,44,,,,,,,,,,,,,,
,菊名,元町・中華街,海老名,横浜,菊名,元住吉,,,,,,,,,,,,,,
,1,1,1,1,1,1,,,,,,,,,,,,,,
