Aダイヤ 曳舟駅 下り時刻表,
5,区間急行,準急,区間急行,区間急行,急行,普通
,03,17,20,35,53,54
,南栗橋,南栗橋,館林,館林,久喜,北千住
,1,1,1,1,1,1
6,準急,普通,準急,区間準急,普通,急行,普通,準急,区間急行
,04,06,21,22,30,39,44,57,58
,南栗橋,北千住,東武動物公園,南栗橋,北千住,東武動物公園,北千住,東武動物公園,館林
,1,1,1,1,1,1,1,1,1
7,準急,区間急行,準急,区間急行,急行,区間準急,準急,準急,区間準急,急行,区間準急,急行
,09,10,17,18,24,26,31,39,40,49,50,58
,南栗橋,館林,南栗橋,館林,南栗橋,館林,北越谷,東武動物公園,館林,南栗橋,東武動物公園,久喜
,1,1,1,1,1,1,1,1,1,1,1,1
8,区間準急,準急,急行,普通,急行,準急,区間準急,急行,区間準急,急行,準急,区間急行,準急,普通,急行,区間準急
,00,04,08,09,15,20,21,27,28,33,42,43,50,51,57,58
,久喜,北越谷,南栗橋,北千住,南栗橋,久喜,北春日部,東武動物公園,北春日部,南栗橋,南栗橋,南栗橋,南栗橋,北千住,久喜,北春日部
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,準急,区間準急,急行,区間準急,準急,普通,急行,普通,急行,普通,急行
,09,10,19,21,28,30,39,40,49,50,58
,久喜,南栗橋,南栗橋,北春日部,北越谷,北千住,南栗橋,北千住,久喜,北千住,南栗橋
,1,1,1,1,1,1,1,1,1,1,1
10,普通,急行,普通,急行,普通,急行,普通,急行,普通,急行,普通,急行
,00,08,10,18,20,28,30,38,40,48,50,58
,北千住,久喜,北千住,南栗橋,北千住,久喜,北千住,南栗橋,北千住,久喜,北千住,南栗橋
,1,1,1,1,1,1,1,1,1,1,1,1
11,普通,急行,普通,急行,普通,急行,普通,急行,普通,急行,普通,急行
,00,08,10,18,20,28,30,38,40,48,50,58
,北千住,久喜,北千住,南栗橋,北千住,久喜,北千住,南栗橋,北千住,久喜,北千住,南栗橋
,1,1,1,1,1,1,1,1,1,1,1,1
12,普通,急行,普通,急行,普通,急行,普通,急行,普通,急行,普通,急行
,01,08,10,18,20,28,30,38,40,48,50,58
,北千住,久喜,北千住,南栗橋,北千住,久喜,北千住,南栗橋,北千住,久喜,北千住,南栗橋
,1,1,1,1,1,1,1,1,1,1,1,1
13,普通,急行,普通,急行,普通,急行,普通,急行,普通,急行,普通,急行
,00,08,10,18,20,28,30,38,40,48,50,58
,北千住,久喜,北千住,南栗橋,北千住,久喜,北千住,南栗橋,北千住,久喜,北千住,南栗橋
,1,1,1,1,1,1,1,1,1,1,1,1
14,普通,急行,普通,急行,普通,急行,普通,急行,普通,急行,普通,急行
,00,08,10,18,20,28,30,38,40,48,50,58
,北千住,久喜,北千住,南栗橋,北千住,久喜,北千住,南栗橋,北千住,久喜,北千住,久喜
,1,1,1,1,1,1,1,1,1,1,1,1
15,普通,急行,普通,急行,普通,急行,普通,急行,普通,急行,普通,急行
,00,08,10,18,20,28,30,38,40,48,50,58
,北千住,南栗橋,北千住,久喜,北千住,南栗橋,北千住,久喜,北千住,南栗橋,北千住,久喜
,1,1,1,1,1,1,1,1,1,1,1,1
16,普通,急行,普通,急行,普通,急行,普通,急行,普通,急行,普通,急行
,00,08,10,19,20,28,30,38,40,48,50,58
,北千住,南栗橋,北千住,久喜,北千住,南栗橋,北千住,久喜,北千住,南栗橋,北千住,久喜
,1,1,1,1,1,1,1,1,1,1,1,1
17,区間準急,急行,区間準急,リバティりょうもう,急行,区間準急,急行,区間準急,急行,区間準急,リバティりょうもう,急行,区間準急,急行,区間急行
,00,08,10,15,18,19,28,29,38,39,45,48,49,58,59
,南栗橋,南栗橋,館林,太田,久喜,北越谷,南栗橋,館林,久喜,南栗橋,赤城,南栗橋,北春日部,久喜,館林
,1,1,1,3,3,1,1,1,1,1,3,3,1,1,1
18,きぬ,急行,区間準急,りょうもう,急行,区間準急,リバティけごん,急行,区間準急,急行,区間準急,りょうもう,急行,区間準急,スカイツリーライナー,急行,区間急行
