Aダイヤ 赤羽駅 下り時刻表,,,,,,,,,,,,,,,,,,,,
4,普通,,,,,,,,,,,,,,,,,,,
,大宮,南浦和,大宮,大宮,南浦和,大宮,大宮,南浦和,大宮,大宮,南浦和,大宮,大宮,大宮,南浦和,大宮,大宮,,,
,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
20,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,,,,,,,,
,03,07,11,15,21,26,30,36,40,45,50,55,,,,,,,,
,大宮,南浦和,大宮,大宮,大宮,南浦和,大宮,大宮,南浦和,大宮,大宮,南浦和,,,,,,,,
,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,
21,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,,,,,,,,
,00,05,10,15,20,25,29,34,38,44,50,56,,,,,,,,
,大宮,大宮,南浦和,大宮,大宮,南浦和,大宮,南浦和,大宮,大宮,大宮,大宮,,,,,,,,
,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,
22,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,,,,,,,,
,02,08,13,18,23,28,33,38,43,48,53,59,,,,,,,,
,大宮,大宮,南浦和,大宮,大宮,南浦和,大宮,大宮,南浦和,大宮,大宮,南浦和,,,,,,,,
,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,
23,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,,,,,,,,,,
,04,11,18,24,31,37,42,49,55,59,,,,,,,,,,
,大宮,大宮,大宮,大宮,大宮,大宮,大宮,大宮,南浦和,大宮,,,,,,,,,,
,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,
0,普通,普通,普通,普通,普通,普通,普通,,,,,,,,,,,,,
,07,15,19,25,29,38,47,,,,,,,,,,,,,
,南浦和,大宮,南浦和,大宮,南浦和,南浦和,南浦和,,,,,,,,,,,,,
,2,2,2,2,2,2,2,,,,,,,,,,,,,
