Aダイヤ 新宿駅 下り時刻表,,
5,始発特急成田エクスプレス,
,55,
,成田空港,
,5,
6,始発特急成田エクスプレス,
,34,
,成田空港,
,5,
7,始発特急成田エクスプレス,始発特急成田エクスプレス
,07,27
,成田空港,成田空港
,5,6
8,始発特急成田エクスプレス,
,02,
,成田空港,
,6,
9,始発特急成田エクスプレス,始発特急成田エクスプレス
,05,39
,成田空港,成田空港
,5,6
10,始発特急成田エクスプレス,始発特急成田エクスプレス
,08,38
,成田空港,成田空港
,5,5
11,始発特急成田エクスプレス,始発特急成田エクスプレス
,08,38
,成田空港,成田空港
,5,5
12,始発特急成田エクスプレス,始発特急成田エクスプレス
,08,38
,成田空港,成田空港
,5,5
13,始発特急成田エクスプレス,始発特急成田エクスプレス
,08,38
,成田空港,成田空港
,5,5
14,始発特急成田エクスプレス,始発特急成田エクスプレス
,08,38
,成田空港,成田空港
,5,5
15,始発特急成田エクスプレス,始発特急成田エクスプレス
,08,38
,成田空港,成田空港
,5,5
16,始発特急成田エクスプレス,始発特急成田エクスプレス
,08,38
,成田空港,成田空港
,5,5
17,始発特急成田エクスプレス,始発特急成田エクスプレス
,09,39
,成田空港,成田空港
,5,5
18,始発特急成田エクスプレス,始発特急成田エクスプレス
,09,39
,成田空港,成田空港
,5,5
19,始発特急成田エクスプレス,
,39,
,成田空港,
,5,
