Aダイヤ 水戸駅 下り時刻表,
6,普通,普通
,10,23
,常陸太田,常陸大子
,2,2
7,普通,普通
,08,28
,常陸太田,郡山
,2,2
8,普通
,17
,常陸太田
,2
9,普通,普通
,08,23
,常陸太田,郡山
,2,2
10,普通
,22
,常陸大宮
,2
11,普通
,15
,常陸大子
,2
12,普通
,15
,常陸大宮
,2
13,普通
,15
,常陸大子
,2
14,普通
,15
,常陸大宮
,2
15,普通,普通
,15,30
,郡山,常陸太田
,2,2
16,普通,普通
,17,51
,常陸大子,常陸太田
,2,2
17,普通,普通
,26,38
,常陸大宮,常陸大子
,2,2
18,普通,普通
,24,42
,常陸太田,常陸大子
,2,2
19,普通,普通
,12,22
,郡山,常陸太田
,2,2
20,普通
,17
,常陸大子
,2
21,普通
,22
,常陸大子
,2
22,普通
,30
,常陸大子
,2
23,普通
,17
,常陸大宮
,2
