平日ダイヤ 横浜駅 下り時刻表,,,,,,,,,,,,,,,,,,
17,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,
,01,05,12,14,19,24,28,33,36,39,43,47,49,54,58,,,
,桜木町,大船,桜木町,大船,磯子,大船,桜木町,大船,桜木町,磯子,大船,桜木町,大船,磯子,大船,,,
,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
18,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,
,03,05,10,15,17,24,26,29,32,36,40,43,46,50,56,,,
,磯子,桜木町,大船,桜木町,大船,大船,桜木町,大船,磯子,大船,桜木町,大船,磯子,大船,大船,,,
,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
19,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,
,01,05,08,12,18,22,27,30,32,35,43,47,52,59,,,,
,桜木町,大船,磯子,大船,大船,磯子,大船,磯子,桜木町,大船,磯子,大船,磯子,大船,,,,
,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,
20,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,
,03,07,09,13,16,19,23,29,33,36,39,44,52,56,,,,
,磯子,桜木町,大船,磯子,桜木町,大船,磯子,大船,磯子,桜木町,大船,磯子,大船,磯子,,,,
,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,
21,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,
,00,05,10,15,20,25,27,30,35,40,45,50,57,,,,,
,桜木町,大船,桜木町,大船,磯子,大船,桜木町,磯子,大船,桜木町,大船,磯子,大船,,,,,
,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
22,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,,
,01,06,08,12,17,22,28,34,39,45,50,57,,,,,,
,磯子,大船,桜木町,磯子,大船,桜木町,大船,桜木町,大船,桜木町,大船,桜木町,,,,,,
,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,
23,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,,,
,02,08,11,15,22,27,33,39,45,51,57,,,,,,,
,大船,大船,桜木町,磯子,大船,磯子,桜木町,大船,磯子,大船,桜木町,,,,,,,
,3,3,3,3,3,3,3,3,3,3,3,,,,,,,
0,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,,,,,,,
,03,09,17,24,29,35,37,,,,,,,,,,,
,大船,磯子,磯子,大船,磯子,磯子,桜木町,,,,,,,,,,,
,3,3,3,3,3,3,3,,,,,,,,,,,
