平日ダイヤ 横浜駅 上り時刻表,,,,,,,,,,,,,,,,,,,
4,各駅停車,各駅停車,各駅停車,各駅停車,,,,,,,,,,,,,,,
,21,35,47,59,,,,,,,,,,,,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,
19,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,
,04,07,12,17,21,25,28,32,36,44,46,49,53,58,,,,,
,大宮,大宮,大宮,南浦和,大宮,大宮,橋本,南浦和,大宮,大宮,南浦和,八王子,大宮,大宮,,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,
20,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,
,02,07,11,15,18,20,23,27,32,35,38,43,48,52,55,,,,
,南浦和,大宮,八王子,大宮,南浦和,橋本,大宮,南浦和,大宮,八王子,大宮,大宮,大宮,八王子,大宮,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,
21,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,,
,04,08,13,19,22,25,29,34,38,40,43,47,53,,,,,,
,大宮,南浦和,大宮,大宮,南浦和,八王子,大宮,大宮,南浦和,八王子,大宮,大宮,南浦和,,,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,
22,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,,,
,00,03,06,13,18,22,24,33,37,43,48,53,,,,,,,
,大宮,大宮,八王子,大宮,大宮,八王子,大宮,大宮,大宮,大宮,南浦和,大宮,,,,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,
23,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,,,,,,,
,00,06,13,18,22,26,29,41,,,,,,,,,,,
,南浦和,大宮,南浦和,大宮,南浦和,八王子,南浦和,南浦和,,,,,,,,,,,
,4,4,4,4,4,4,4,4,,,,,,,,,,,
0,各駅停車,各駅停車,,,,,,,,,,,,,,,,,
,00,19,,,,,,,,,,,,,,,,,
,上野,蒲田,,,,,,,,,,,,,,,,,
,4,4,,,,,,,,,,,,,,,,,
