Aダイヤ 品川駅 上り時刻表,,,,,,,,,,,,,,,,,,,
5,普通,,,,,,,,,,,,,,,,,,
,04,07,15,20,25,29,33,40,45,50,54,59,,,,,,,
,取手,高崎,高萩,宇都宮,土浦,高崎,成田,小金井,いわき,籠原,土浦,宇都宮,,,,,,,
,10,6,9,6,10,6,11,6,9,6,10,6,,,,,,,
21,始発快速,普通,始発ときわ,普通,始発快速,普通,普通,始発普通,始発ときわ,普通,始発普通,,,,,,,,
,06,10,15,21,26,29,36,39,45,50,55,,,,,,,,
,取手,高崎,勝田,小金井,取手,高崎,宇都宮,土浦,高萩,籠原,勝田,,,,,,,,
,11,6,9,6,11,6,6,10,9,6,10,,,,,,,,
22,普通,始発快速,普通,始発ときわ,普通,始発快速,普通,始発普通,普通,始発ときわ,普通,始発普通,,,,,,,
,00,07,11,15,21,26,33,36,39,45,54,56,,,,,,,
,前橋,取手,小金井,土浦,籠原,成田,宇都宮,勝田,籠原,勝田,東京,土浦,,,,,,,
,6,11,6,9,6,11,6,10,6,9,6,10,,,,,,,
23,普通,普通,普通,普通,普通,,,,,,,,,,,,,,
,00,09,18,28,39,,,,,,,,,,,,,,
,宇都宮,東京,東京,東京,東京,,,,,,,,,,,,,,
,6,6,6,6,6,,,,,,,,,,,,,,
