Aダイヤ 鶴橋駅 上り時刻表,,,,,,,,,,,,,,,,,,,
,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,,
21,普通,特急H,急行,区間準急,特急,普通,急行,区間準急,普通,特急U,急行,区間準急,普通,急行,特急,区間準急,,,
,02,06,08,13,16,19,26,29,33,36,38,42,48,53,56,59,,,
,高安,名古屋,青山町,榛原,松阪,高安,青山町,大和朝倉,高安,名古屋,青山町,大和朝倉,高安,青山町,松阪,大和朝倉,,,
,2,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,,,
22,普通,急行,特急,区間準急,普通,急行,普通,特急,準急,普通,急行,,,,,,,,
,05,08,16,17,19,29,33,36,42,49,54,,,,,,,,
,高安,青山町,名張,榛原,河内国分,青山町,大和朝倉,名張,名張,高安,大和八木,,,,,,,,
,2,2,1,2,2,2,2,1,2,2,2,,,,,,,,
23,区間準急,普通,特急,急行,普通,区間準急,急行,普通,区間準急,普通,,,,,,,,,
,03,06,16,18,21,28,38,41,49,55,,,,,,,,,
,榛原,高安,名張,青山町,高安,榛原,大和八木,高安,五位堂,高安,,,,,,,,,
,2,2,1,2,2,2,2,2,2,2,,,,,,,,,
0,急行,普通,,,,,,,,,,,,,,,,,
,00,11,,,,,,,,,,,,,,,,,
,大和八木,高安,,,,,,,,,,,,,,,,,
,2,2,,,,,,,,,,,,,,,,,
