Aダイヤ 奈良駅 下り時刻表,,,,,,,,,,,,,,,,,,,,,,,,
,1,4,3,1,2,4,1,2,3,2,,,,,,,,,,,,,,
21,快速急行,区間準急,急行,快速急行,快速急行,快速急行,,,,,,,,,,,,,,,,,,
,09,14,23,26,36,47,,,,,,,,,,,,,,,,,,
,大阪難波,尼崎,京都,尼崎,大阪難波,尼崎,,,,,,,,,,,,,,,,,,
,2,3,3,1,2,1,,,,,,,,,,,,,,,,,,
22,快速急行,普通,快速急行,普通,急行,普通,区間準急,快速急行,普通,,,,,,,,,,,,,,,
,00,07,13,20,27,34,45,51,55,,,,,,,,,,,,,,,
,大阪難波,尼崎,尼崎,大和西大寺,京都,大和西大寺,大阪難波,大阪難波,尼崎,,,,,,,,,,,,,,,
,1,1,2,1,4,1,2,1,2,,,,,,,,,,,,,,,
23,快速急行,普通,普通,普通,普通,,,,,,,,,,,,,,,,,,,
,07,16,26,35,48,,,,,,,,,,,,,,,,,,,
,大阪難波,東花園,新田辺,東花園,東花園,,,,,,,,,,,,,,,,,,,
,1,3,2,2,3,,,,,,,,,,,,,,,,,,,
0,普通,普通,普通,普通,,,,,,,,,,,,,,,,,,,,
,00,10,20,31,,,,,,,,,,,,,,,,,,,,
,東花園,新田辺,大和西大寺,大和西大寺,,,,,,,,,,,,,,,,,,,,
,3,2,3,2,,,,,,,,,,,,,,,,,,,,
