Aダイヤ 京都駅 下り時刻表,,,,,,,,,,,,,,
,新田辺,奈良,大和西大寺,新田辺,橿原神宮前,橿原神宮前,新田辺,大和西大寺,新田辺,大和西大寺,,,,
,4,1,2,4,1,3,2,3,4,1,,,,
22,急行,普通,急行,普通,特急,急行,普通,急行,普通,,,,,
,01,06,14,21,25,32,36,45,52,,,,,
,橿原神宮前,大和西大寺,奈良,橿原神宮前,大和西大寺,奈良,新田辺,奈良,天理,,,,,
,3,2,3,4,1,3,2,3,2,,,,,
23,特急,急行,普通,急行,普通,急行,,,,,,,,
,00,03,13,22,32,41,,,,,,,,
,奈良,大和西大寺,大和西大寺,奈良,新田辺,大和西大寺,,,,,,,,
,1,2,3,1,2,1,,,,,,,,
0,普通,,,,,,,,,,,,,
,00,,,,,,,,,,,,,
,新田辺,,,,,,,,,,,,,
,1,,,,,,,,,,,,,
