Aダイヤ 鶴橋駅 上り時刻表,,,,,,,,,,,,,,,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
22,区間準急,普通,急行,区間準急,普通,快速急行,準急,特急,普通,準急,快速急行,普通,急行,区間準急,,,,
,00,04,08,13,18,20,28,30,32,39,42,47,53,58,,,,
,奈良,東花園,奈良,奈良,奈良,大和西大寺,大和西大寺,奈良,大和西大寺,大和西大寺,奈良,東花園,奈良,奈良,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
23,普通,特急,快速急行,区間準急,急行,普通,区間準急,特急H,普通,準急,急行,普通,,,,,,
,04,06,08,13,18,20,28,30,35,41,52,55,,,,,,
,東花園,奈良,大和西大寺,大和西大寺,大和西大寺,東花園,奈良,奈良,大和西大寺,大和西大寺,奈良,東花園,,,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
0,区間準急,快速急行,普通,,,,,,,,,,,,,,,
,00,09,11,,,,,,,,,,,,,,,
,大和西大寺,奈良,東花園,,,,,,,,,,,,,,,
,1,1,1,,,,,,,,,,,,,,,
